                PC      BP      SP      Stack
Initial values: 10      499     500

  JMP 0 85      85      499     500
  INC 0 5       88      499     495     0 0 0 0 0 
  LIT 0 4       91      499     494     0 0 0 0 0 4 
  STO 0 4       94      499     495     0 0 0 0 4 
  CAL 0 13      13      494     495     0 0 0 0 4 
  JMP 0 16      16      494     495     0 0 0 0 4 
  INC 0 4       19      494     491     0 0 0 0 4 | 499 499 97 0 
  LOD 1 4       22      494     490     0 0 0 0 4 | 499 499 97 0 4 
  STO 0 3       25      494     491     0 0 0 0 4 | 499 499 97 4 
  LOD 1 4       28      494     490     0 0 0 0 4 | 499 499 97 4 4 
  LIT 0 1       31      494     489     0 0 0 0 4 | 499 499 97 4 4 1 
  SUB 0 2       34      494     490     0 0 0 0 4 | 499 499 97 4 3 
  STO 1 4       37      494     491     0 0 0 0 3 | 499 499 97 4 
  LOD 1 4       40      494     490     0 0 0 0 3 | 499 499 97 4 3 
  LIT 0 0       43      494     489     0 0 0 0 3 | 499 499 97 4 3 0 
  EQL 0 5       46      494     490     0 0 0 0 3 | 499 499 97 4 0 
  JPC 0 55      55      494     491     0 0 0 0 3 | 499 499 97 4 
  LOD 1 4       58      494     490     0 0 0 0 3 | 499 499 97 4 3 
  LIT 0 0       61      494     489     0 0 0 0 3 | 499 499 97 4 3 0 
  GTR 0 9       64      494     490     0 0 0 0 3 | 499 499 97 4 1 
  JPC 0 70      67      494     491     0 0 0 0 3 | 499 499 97 4 
  CAL 1 13      13      490     491     0 0 0 0 3 | 499 499 97 4 
  JMP 0 16      16      490     491     0 0 0 0 3 | 499 499 97 4 
  INC 0 4       19      490     487     0 0 0 0 3 | 499 499 97 4 | 499 494 70 0 
  LOD 1 4       22      490     486     0 0 0 0 3 | 499 499 97 4 | 499 494 70 0 3 
  STO 0 3       25      490     487     0 0 0 0 3 | 499 499 97 4 | 499 494 70 3 
  LOD 1 4       28      490     486     0 0 0 0 3 | 499 499 97 4 | 499 494 70 3 3 
  LIT 0 1       31      490     485     0 0 0 0 3 | 499 499 97 4 | 499 494 70 3 3 1 
  SUB 0 2       34      490     486     0 0 0 0 3 | 499 499 97 4 | 499 494 70 3 2 
  STO 1 4       37      490     487     0 0 0 0 2 | 499 499 97 4 | 499 494 70 3 
  LOD 1 4       40      490     486     0 0 0 0 2 | 499 499 97 4 | 499 494 70 3 2 
  LIT 0 0       43      490     485     0 0 0 0 2 | 499 499 97 4 | 499 494 70 3 2 0 
  EQL 0 5       46      490     486     0 0 0 0 2 | 499 499 97 4 | 499 494 70 3 0 
  JPC 0 55      55      490     487     0 0 0 0 2 | 499 499 97 4 | 499 494 70 3 
  LOD 1 4       58      490     486     0 0 0 0 2 | 499 499 97 4 | 499 494 70 3 2 
